dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25
1169,1173,1199,1195,1200,1158,1163,1157,1184,1221,1202,1190,1186,1188,1185,1132,1164,1164,1188,1243,1182,1182,1176,1196,1228
1200,1181,1199,1178,1189,1141,1164,1124,1183,1242,1206,1193,1212,1176,1144,1103,1172,1177,1161,1221,1166,1163,1174,1197,1209
1209,1179,1182,1196,1196,1149,1161,1166,1176,1218,1209,1204,1190,1202,1181,1152,1156,1170,1175,1258,1183,1184,1150,1210,1244
1206,1200,1209,1184,1210,1171,1162,1146,1178,1257,1194,1183,1198,1189,1153,1132,1149,1191,1193,1236,1167,1216,1168,1212,1226
1204,1186,1212,1201,1200,1152,1147,1150,1171,1242,1218,1188,1189,1222,1170,1132,1166,1193,1174,1244,1159,1160,1138,1190,1232
1153,1156,1164,1144,1158,1113,1130,1086,1126,1206,1192,1175,1148,1157,1140,1112,1122,1124,1148,1236,1166,1132,1138,1144,1155
1171,1155,1173,1174,1140,1140,1109,1134,1169,1210,1161,1167,1187,1188,1144,1116,1122,1167,1119,1210,1141,1157,1133,1188,1205
1145,1129,1130,1158,1149,1123,1130,1109,1128,1214,1174,1143,1153,1185,1129,1091,1109,1130,1139,1216,1146,1160,1104,1153,1173
1167,1189,1188,1186,1198,1165,1161,1141,1167,1220,1170,1171,1200,1191,1158,1125,1153,1159,1186,1245,1162,1176,1132,1200,1220
1217,1222,1221,1232,1246,1216,1213,1183,1232,1274,1282,1241,1245,1255,1237,1168,1217,1220,1240,1295,1230,1223,1187,1233,1281
1210,1195,1234,1206,1184,1182,1193,1172,1208,1251,1225,1205,1203,1227,1218,1155,1168,1189,1214,1268,1161,1194,1182,1211,1235
1193,1205,1194,1180,1181,1137,1159,1158,1183,1243,1200,1191,1209,1193,1195,1146,1166,1183,1185,1213,1161,1215,1163,1201,1231
1190,1210,1196,1192,1196,1177,1164,1161,1184,1238,1213,1218,1212,1213,1175,1127,1174,1214,1190,1257,1185,1205,1154,1213,1222
1205,1176,1197,1193,1204,1161,1181,1165,1209,1262,1217,1197,1204,1207,1171,1121,1173,1182,1177,1240,1188,1184,1164,1207,1220
1169,1193,1189,1202,1160,1100,1161,1133,1172,1212,1188,1152,1173,1183,1147,1106,1156,1163,1161,1219,1129,1136,1146,1190,1235
1121,1125,1129,1142,1126,1097,1095,1074,1153,1179,1160,1120,1160,1136,1115,1071,1091,1140,1101,1176,1109,1133,1092,1138,1172
1167,1154,1156,1177,1166,1130,1154,1128,1151,1187,1193,1155,1188,1154,1150,1105,1136,1166,1145,1209,1142,1147,1132,1148,1180
1182,1172,1192,1169,1146,1144,1157,1149,1191,1247,1182,1210,1177,1211,1144,1109,1168,1165,1132,1245,1180,1170,1152,1177,1244
1168,1153,1176,1191,1145,1145,1158,1128,1178,1204,1218,1180,1181,1178,1167,1132,1145,1181,1164,1236,1159,1178,1165,1171,1209
1247,1231,1245,1251,1259,1209,1201,1224,1236,1300,1257,1248,1233,1229,1221,1177,1228,1256,1231,1301,1201,1236,1204,1239,1266
1182,1167,1139,1152,1179,1148,1161,1105,1155,1210,1190,1191,1193,1194,1147,1110,1159,1170,1163,1212,1175,1166,1112,1191,1219
1148,1183,1219,1193,1173,1123,1156,1144,1170,1244,1192,1183,1216,1173,1166,1132,1138,1151,1176,1227,1177,1145,1156,1190,1195
1176,1159,1153,1183,1186,1126,1139,1113,1131,1210,1184,1168,1177,1165,1114,1099,1136,1143,1149,1195,1142,1111,1114,1164,1193
1224,1174,1192,1210,1200,1137,1175,1150,1209,1238,1223,1179,1235,1174,1191,1144,1160,1194,1201,1248,1170,1175,1187,1199,1216
1202,1208,1227,1226,1249,1196,1186,1205,1201,1281,1240,1218,1226,1215,1198,1173,1177,1223,1198,1280,1209,1207,1222,1243,1270
